Family,IP Address,Port Number,Hosting Range,Domain Name,Second Level,Last Seen
redline,5.42.65.63,14707,5.42.64.0/22,,,2024-06-07
redline,194.26.232.43,20746,194.26.232.0/24,,,2024-06-07
njrat,186.99.155.196,8093,186.99.128.0/18,njnegro8093.duckdns.org,duckdns.org,2024-06-07
redline,185.172.128.33,8970,185.172.128.0/24,,,2024-06-07
redline,185.215.113.67,40960,185.215.113.0/24,,,2024-06-07
njrat,80.253.239.170,31089,80.253.224.0/20,,,2024-06-07
lokibot,104.21.65.180,80,104.21.0.0/17,rocheholding.top,rocheholding.top,2024-06-07
njrat,3.124.67.191,15023,3.120.0.0/13,7.tcp.eu.ngrok.io,ngrok.io,2024-06-06
njrat,3.6.122.107,10680,3.6.0.0/15,0.tcp.in.ngrok.io,ngrok.io,2024-06-06
njrat,18.192.93.86,11520,18.192.0.0/13,2.tcp.eu.ngrok.io,ngrok.io,2024-06-06
njrat,147.185.221.17,11278,147.185.221.0/24,results-ownership.gl.at.ply.gg,ply.gg,2024-06-06
redline,94.156.67.67,46629,94.156.64.0/21,,,2024-06-06
njrat,18.192.31.165,17739,18.192.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-06-06
njrat,3.125.102.39,17739,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-06-06
njrat,147.185.221.20,9426,147.185.221.0/24,so-taxi.gl.at.ply.gg,ply.gg,2024-06-06
lokibot,3.94.10.34,80,3.88.0.0/13,erxst.info,erxst.info,2024-06-05
lokibot,172.67.168.154,80,172.67.0.0/16,giampaolidolciaria.cfd,giampaolidolciaria.cfd,2024-06-05
njrat,147.185.221.19,43028,147.185.221.0/24,an-taxi.gl.at.ply.gg,ply.gg,2024-06-05
lokibot,172.67.165.74,80,172.67.0.0/16,rocheholding.top,rocheholding.top,2024-06-05
redline,147.45.47.93,80,147.45.47.0/24,,,2024-06-05
lokibot,31.192.235.208,80,31.192.232.0/21,mtuogioanis.com,mtuogioanis.com,2024-06-04
njrat,95.179.228.20,1177,95.179.128.0/17,seznam.zapto.org,zapto.org,2024-06-04
njrat,95.179.228.20,5050,95.179.128.0/17,seznam.zapto.org,zapto.org,2024-06-04
njrat,3.64.4.198,15212,3.64.0.0/12,5.tcp.eu.ngrok.io,ngrok.io,2024-06-04
njrat,18.158.58.205,15212,18.156.0.0/14,5.tcp.eu.ngrok.io,ngrok.io,2024-06-04
nanocore,192.169.69.25,54989,192.169.68.0/22,54989.duckdns.org,duckdns.org,2024-06-04
lokibot,188.114.96.2,80,188.114.96.0/22,ulysse-cazabonne.cam,ulysse-cazabonne.cam,2024-06-04
lokibot,54.39.105.175,80,54.36.0.0/14,automatia.in,automatia.in,2024-06-04
lokibot,93.123.39.160,80,93.123.39.0/24,namex-na.com,namex-na.com,2024-06-04
redline,43.155.163.53,24543,43.154.0.0/15,,,2024-06-04
njrat,192.169.69.25,5552,192.169.68.0/22,win32.duckdns.org,duckdns.org,2024-06-03
nanocore,192.169.69.26,4156,192.169.68.0/22,bnow.duckdns.org,duckdns.org,2024-06-03
lokibot,31.220.40.22,80,31.220.40.0/23,,,2024-06-02
lokibot,185.159.153.84,80,185.159.152.0/22,pendarcc.ir,pendarcc.ir,2024-06-02
lokibot,185.53.177.13,80,185.53.176.0/22,www.dnacharting.com,dnacharting.com,2024-06-02
lokibot,147.78.103.81,80,147.78.103.0/24,namex-na.com,namex-na.com,2024-06-02
redline,13.60.40.107,1912,13.60.0.0/15,,,2024-06-02
njrat,193.161.193.99,44070,193.161.193.0/24,,,2024-06-02
njrat,160.176.174.24,10000,160.176.0.0/14,doddyfire.linkpc.net,linkpc.net,2024-06-02
njrat,3.125.102.39,16276,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-06-02
njrat,3.14.182.203,16424,3.8.0.0/13,0.tcp.ngrok.io,ngrok.io,2024-06-02
njrat,3.17.7.232,16424,3.16.0.0/13,0.tcp.ngrok.io,ngrok.io,2024-06-02
njrat,3.134.125.175,16424,3.128.0.0/12,0.tcp.ngrok.io,ngrok.io,2024-06-02
njrat,209.25.140.211,23521,209.25.140.0/22,tips-prairie.at.ply.gg,ply.gg,2024-06-02
njrat,3.124.142.205,18801,3.120.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-06-02
njrat,18.192.31.165,18801,18.192.0.0/13,0.tcp.eu.ngrok.io,ngrok.io,2024-06-02
njrat,18.158.249.75,18801,18.156.0.0/14,0.tcp.eu.ngrok.io,ngrok.io,2024-06-02
lokibot,91.223.223.236,80,91.223.223.0/24,tkanilux.com.ua,com.ua,2024-06-02
nanocore,192.169.69.25,7019,192.169.68.0/22,haul.duckdns.org,duckdns.org,2024-06-01
lokibot,31.220.1.98,80,31.220.0.0/22,,,2024-06-01
redline,85.192.20.120,9999,85.192.20.0/24,,,2024-06-01
lokibot,23.227.38.32,80,23.227.38.0/23,allbou.com,allbou.com,2024-05-31
lokibot,46.148.39.131,80,46.148.39.0/24,sempersim.su,sempersim.su,2024-05-31
lokibot,172.67.222.157,80,172.67.0.0/16,tampabayllc.top,tampabayllc.top,2024-05-31
lokibot,104.21.46.21,80,104.21.0.0/17,tampabayllc.top,tampabayllc.top,2024-05-31
redline,5.42.65.129,2353,5.42.64.0/22,,,2024-05-31
njrat,3.127.138.57,17169,3.120.0.0/13,2.tcp.eu.ngrok.io,ngrok.io,2024-05-31
nanocore,216.218.135.117,3344,216.218.128.0/18,crsiedem7.ddns.net,ddns.net,2024-05-31
lokibot,154.204.78.151,80,154.204.64.0/18,valdepian.com,valdepian.com,2024-05-31
nanocore,94.156.69.232,65024,94.156.64.0/21,december2nd.ddns.net,ddns.net,2024-05-31
njrat,34.125.100.30,5050,34.124.0.0/15,ronymahmoud.casacam.net,casacam.net,2024-05-31
njrat,193.161.193.99,42772,193.161.193.0/24,gorodpro-42772.portmap.host,portmap.host,2024-05-31
njrat,49.13.194.118,5552,49.12.0.0/15,,,2024-05-31
njrat,3.124.142.205,443,3.120.0.0/13,tcp.ngrok.io,ngrok.io,2024-05-31
njrat,18.192.31.165,443,18.192.0.0/13,tcp.ngrok.io,ngrok.io,2024-05-31
njrat,3.22.30.40,16424,3.16.0.0/13,0.tcp.ngrok.io,ngrok.io,2024-05-30
njrat,147.185.221.19,49671,147.185.221.0/24,,,2024-05-30
njrat,91.92.241.69,5555,91.92.240.0/20,,,2024-05-30
njrat,147.185.221.19,45758,147.185.221.0/24,19.ip.gl.ply.gg,ply.gg,2024-05-30
njrat,192.169.69.25,1338,192.169.68.0/22,microsoft-ipv6.duckdns.org,duckdns.org,2024-05-30
njrat,209.25.141.211,23521,209.25.140.0/22,tips-prairie.at.ply.gg,ply.gg,2024-05-30
njrat,46.246.86.11,2054,46.246.64.0/18,anti2020.duckdns.org,duckdns.org,2024-05-30
nanocore,93.123.39.66,6318,93.123.39.0/24,zaragoza.ddns.net,ddns.net,2024-05-30
lokibot,203.209.197.31,80,203.209.192.0/20,geckoplumbing.com.au,com.au,2024-05-30
lokibot,51.68.167.104,80,51.68.0.0/16,,,2024-05-30
lokibot,216.137.178.203,80,216.137.176.0/20,www.matantalbenna.com,matantalbenna.com,2024-05-30
lokibot,34.246.200.160,80,34.240.0.0/12,abscete.info,abscete.info,2024-05-30
lokibot,89.34.237.212,80,89.34.236.0/23,,,2024-05-30
lokibot,54.80.154.23,80,54.80.0.0/13,blesblochem.com,blesblochem.com,2024-05-30
nanocore,184.105.237.195,10010,184.105.236.0/23,franex.gotdns.ch,gotdns.ch,2024-05-28
njrat,45.76.129.156,5050,45.76.0.0/15,seznam.zapto.org,zapto.org,2024-05-28
lokibot,64.190.63.222,80,64.190.62.0/23,ciston.nut.cc,nut.cc,2024-05-28
lokibot,192.169.69.25,80,192.169.68.0/22,jumbie.duckdns.org,duckdns.org,2024-05-28
redline,109.107.182.39,7771,109.107.182.0/24,,,2024-05-28
redline,51.195.53.197,13914,51.195.0.0/16,,,2024-05-28
lokibot,172.67.175.19,80,172.67.0.0/16,metallc.top,metallc.top,2024-05-28
lokibot,188.114.97.2,80,188.114.96.0/22,rocheholding.top,rocheholding.top,2024-05-28
lokibot,192.3.209.101,80,192.3.208.0/20,,,2024-05-28
nanocore,147.78.103.240,1974,147.78.103.0/24,psolver827.ddns.net,ddns.net,2024-05-28
njrat,105.154.226.162,10000,105.154.0.0/16,doddyfire.linkpc.net,linkpc.net,2024-05-27
lokibot,64.190.63.222,80,64.190.62.0/23,lolibes.nut.cc,nut.cc,2024-05-27
nanocore,185.216.70.147,6318,185.216.70.0/24,zaragoza.ddns.net,ddns.net,2024-05-27
lokibot,64.190.63.222,80,64.190.62.0/23,fiseriy.nut.cc,nut.cc,2024-05-27
lokibot,54.244.188.177,80,54.244.0.0/14,theonlygoodman.com,theonlygoodman.com,2024-05-27
redline,149.28.222.15,44506,149.28.128.0/17,,,2024-05-27
njrat,197.202.219.104,555,197.202.0.0/15,x555hd.ddns.net,ddns.net,2024-05-27
lokibot,31.220.2.200,80,31.220.0.0/22,,,2024-05-27
redline,5.42.65.115,40551,5.42.64.0/22,,,2024-05-27
njrat,147.185.221.19,32384,147.185.221.0/24,control-road.gl.at.ply.gg,ply.gg,2024-05-27
njrat,45.76.129.156,1177,45.76.0.0/15,seznam.zapto.org,zapto.org,2024-05-26
lokibot,172.67.204.114,80,172.67.0.0/16,edgewell.cam,edgewell.cam,2024-05-26
njrat,18.192.93.86,10092,18.192.0.0/13,2.tcp.eu.ngrok.io,ngrok.io,2024-05-26
njrat,18.157.68.73,10092,18.156.0.0/14,2.tcp.eu.ngrok.io,ngrok.io,2024-05-26
njrat,18.197.239.5,10092,18.192.0.0/13,2.tcp.eu.ngrok.io,ngrok.io,2024-05-26
njrat,18.156.13.209,10092,18.156.0.0/14,2.tcp.eu.ngrok.io,ngrok.io,2024-05-26
njrat,3.127.138.57,10092,3.120.0.0/13,2.tcp.eu.ngrok.io,ngrok.io,2024-05-26
